artist,track,time,id
2 Pac,Baby Don't Cry,04:22:00,1
2Ge+her,The Hardest Part Of ...,03:15:00,2
3 Doors Down,Kryptonite,03:53:00,3
3 Doors Down,Loser,04:24:00,4
504 Boyz,Wobble Wobble,03:35:00,5
98?,Give Me Just One Nig...,03:24:00,6
A*Teens,Dancing Queen,03:44:00,7
Aaliyah,I Don't Wanna,04:15:00,8
Aaliyah,Try Again,04:03:00,9
"Adams, Yolanda",Open My Heart,05:30:00,10
"Adkins, Trace",More,03:05:00,11
"Aguilera, Christina",Come On Over Baby,03:38:00,12
"Aguilera, Christina",I Turn To You,04:00:00,13
"Aguilera, Christina",What A Girl Wants,03:18:00,14
Alice Deejay,Better Off Alone,06:50:00,15
"Allan, Gary",Smoke Rings In The D...,04:18:00,16
Amber,Sexual,04:38:00,17
Anastacia,I'm Outta Love,04:01:00,18
"Anthony, Marc",My Baby You,03:59:00,19
"Anthony, Marc",You Sang To Me,03:50:00,20
Avant,My First Love,04:28:00,21
Avant,Separated,04:13:00,22
"Backstreet Boys, The",Shape Of My Heart,03:49:00,23
"Backstreet Boys, The",Show Me The Meaning ...,03:54:00,24
"Backstreet Boys, The",The One,03:46:00,25
"Badu, Erkyah",Bag Lady,05:03:00,26
Baha Men,Who Let The Dogs Out,03:17:00,27
Barenaked Ladies,Pinch Me,03:46:00,28
BBMak,Back Here,03:35:00,29
Beenie Man,Girls Dem Sugar,04:17:00,30
Before Dark,Monica,04:04:00,31
"Bega, Lou",Tricky Tricky,03:23:00,32
Big Punisher,It's So Hard,03:25:00,33
Black Rob,Whoa!,04:04:00,34
"Black, Clint",Been There,05:28:00,35
Blaque,Bring It All To Me,03:46:00,36
"Blige, Mary J.",Deep Inside,05:26:00,37
"Blige, Mary J.",Give Me You,05:00:00,38
Blink-182,All The Small Things,02:52:00,39
Bloodhound Gang,The Bad Touch,04:20:00,40
Bon Jovi,It's My Life,03:44:00,41
"Braxton, Toni",He Wasn't Man Enough,04:21:00,42
"Braxton, Toni",Just Be A Man About ...,04:10:00,43
"Braxton, Toni",Spanish Guitar,04:24:00,44
"Brock, Chad",A Country Boy Can Su...,03:54:00,45
"Brock, Chad",Yes!,03:22:00,46
Brooks & Dunn,You'll Always Be Lov...,02:58:00,47
"Brooks, Garth",Do What You Gotta Do,02:56:00,48
"Byrd, Tracy",Put Your Hand In Min...,04:30:00,49
"Cagle, Chris",My Love Goes On And ...,03:02:00,50
Cam'ron,What Means The World...,04:38:00,51
"Carey, Mariah",Crybaby,05:19:00,52
"Carey, Mariah",Thank God I Found Yo...,04:14:00,53
"Carter, Aaron",Aaron's Party,03:23:00,54
"Carter, Torrey",Take That,03:43:00,55
Changing Faces,That Other Woman,04:00:00,56
"Chesney, Kenny",I Lost It,03:54:00,57
"Chesney, Kenny",What I Need To Do,04:05:00,58
Clark Family Experience,Meanwhile Back At Th...,02:56:00,59
"Clark, Terri",A Little Gasoline,03:07:00,60
Common,The Light,03:55:00,61
Counting Crows,Hanginaround,04:07:00,62
Creed,Higher,05:16:00,63
Creed,With Arms Wide Open,03:52:00,64
"Cyrus, Billy Ray",You Won't Be Lonely ...,03:45:00,65
D'Angelo,Left & Right,04:35:00,66
D'Angelo,Untitled,07:10:00,67
Da Brat,That's What I'm Look...,03:44:00,68
Da Brat,What'Chu Like,03:57:00,69
"Davidson, Clay",Unconditional,03:56:00,70
De La Soul,All Good?,05:02:00,71
Destiny's Child,Independent Women Pa...,03:38:00,72
Destiny's Child,Jumpin' Jumpin',03:48:00,73
Destiny's Child,Say My Name,04:31:00,74
"Diffie, Joe",It's Always Somethin...,02:55:00,75
"Diffie, Joe",The Quittin' Kind,03:23:00,76
"Dion, Celine",That's The Way It Is,04:03:00,77
"Dixie Chicks, The",Cold Day In July,05:12:00,78
"Dixie Chicks, The",Cowboy Take Me Away,04:51:00,79
"Dixie Chicks, The",Goodbye Earl,04:19:00,80
"Dixie Chicks, The",Without You,03:32:00,81
DMX,Party Up,03:45:00,82
DMX,What You Want,04:05:00,83
DMX,What's My Name,03:50:00,84
Dr. Dre,Forgot About Dre,03:42:00,85
Dr. Dre,The Next Episode,02:38:00,86
Drama,"Left, Right, Left",03:37:00,87
Dream,He Loves U Not,03:43:00,88
"Eastsidaz, The",G'D Up,04:27:00,89
"Eastsidaz, The",Got Beef,03:58:00,90
Eiffel 65,Blue,03:29:00,91
"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51:00,92
Eminem,Stan,05:26:00,93
Eminem,The Real Slim Shady,04:42:00,94
Eminem,The Way I Am,04:40:00,95
En Vogue,Riddle,05:10:00,96
"Estefan, Gloria",No Me Dejes De Quere...,03:25:00,97
"Evans, Sara",Born To Fly,05:36:00,98
Eve,Got It All,03:48:00,99
Eve,Love Is Blind,03:51:00,100
Everclear,Wonderful,04:30:00,101
"Fabian, Lara",I Will Love Again,03:43:00,102
Fatboy Slim,The Rockafeller Skan...,04:00:00,103
Filter,Take A Picture,04:23:00,104
Foo Fighters,Learn To Fly,03:55:00,105
Fragma,Toca's Miracle,03:22:00,106
Funkmaster Flex,Do You,04:14:00,107
Ghostface Killah,Cherchez LaGhost,03:04:00,108
"Gill, Vince",Feels Like Love,04:13:00,109
"Gilman, Billy",One Voice,04:07:00,110
Ginuwine,None Of Ur Friends B...,04:12:00,111
Ginuwine,The Best Man I Can B...,04:06:00,112
Goo Goo Dolls,Broadway,03:54:00,113
"Gray, Macy",I Try,03:52:00,114
"Griggs, Andy",She's More,03:19:00,115
Guy,Dancin',04:08:00,116
Hanson,This Time Around,04:14:00,117
"Hart, Beth",L.A. Song,03:47:00,118
"Heatherly, Eric",Flowers On The Wall,03:16:00,119
"Henley, Don",Taking You Home,04:08:00,120
"Herndon, Ty",No Mercy,04:43:00,121
"Hill, Faith",Breathe,04:04:00,122
"Hill, Faith",Let's Make Love,04:11:00,123
Hoku,Another Dumb Blonde,03:47:00,124
"Hollister, Dave",Can't Stay,06:17:00,125
Hot Boys,I Need A Hot Girl,04:16:00,126
"Houston, Whitney",Could I Have This Ki...,03:54:00,127
"Houston, Whitney",I Learned From The B...,04:18:00,128
"Houston, Whitney",My Love Is Your Love,04:16:00,129
"Houston, Whitney","Same Script, Differe...",04:45:00,130
Ice Cube,You Can Do It,04:20:00,131
Ideal,Whatever,03:48:00,132
"Iglesias, Enrique",Be With You,03:36:00,133
"Iglesias, Enrique",Rhythm Divine,07:35:00,134
IMx,Stay The Night,03:37:00,135
J-Shin,One Night Stand,04:34:00,136
Ja Rule,Between Me And You,04:05:00,137
"Jackson, Alan",It Must Be Love,02:53:00,138
"Jackson, Alan",Pop A Top,03:04:00,139
"Jackson, Alan",www.memory,02:36:00,140
Jagged Edge,He Can't Love U,03:30:00,141
Jagged Edge,Let's Get Married,04:23:00,142
Janet,Doesn't Really Matte...,04:17:00,143
Jay-Z,Anything,03:41:00,144
Jay-Z,Big Pimpin',03:55:00,145
Jay-Z,Do It Again,03:47:00,146
Jay-Z,Hey Papi,03:40:00,147
Jay-Z,I Just Wanna Love U,03:50:00,148
"Jean, Wyclef",911,04:00:00,149
Joe,I Wanna Know,04:57:00,150
Joe,Treat Her Like A Lad...,04:12:00,151
"John, Elton",Someday Out Of The B...,04:41:00,152
"Jones, Donell",Where I Wanna Be,06:22:00,153
"Jordan, Montell",Get It On.. Tonite,04:34:00,154
Juvenile,U Understand,03:51:00,155
Kandi,Don't Think I'm Not,03:50:00,156
"Keith, Toby",Country Comes To Tow...,03:39:00,157
"Keith, Toby",How Do You Like Me N...,03:29:00,158
Kelis,Caught Out There,04:09:00,159
Kenny G,Auld Lang Syne,07:50:00,160
Kid Rock,Only God Knows Why,05:27:00,161
"Kravitz, Lenny",I Belong To You,04:17:00,162
Kumbia Kings,U Don't Love Me,03:50:00,163
"Larrieux, Amel",Get Up,04:02:00,164
"Lawrence, Tracy",Lessons Learned,02:55:00,165
"Levert, Gerald",Baby U Are,04:10:00,166
"Levert, Gerald",Mr. Too Damn Good,04:06:00,167
LFO,I Don't Wanna Kiss Y...,05:00:00,168
LFO,West Side Story,03:27:00,169
Lil Bow Wow,Bounce With Me,03:22:00,170
Lil Wayne,Tha Block Is Hot,04:13:00,171
Lil' Kim,How Many Licks?,03:50:00,172
Lil' Kim,No Matter What They ...,04:12:00,173
Lil' Mo,Ta Da,04:17:00,174
Lil' Zane,Callin' Me,03:43:00,175
Limp Bizkit,N 2 Gether Now,03:55:00,176
Limp Bizkit,Re-Arranged,04:08:00,177
Limp Bizkit,Rollin',04:04:00,178
LL Cool J,Imagine That,04:00:00,179
Lonestar,Amazed,04:25:00,180
Lonestar,Smile,03:33:00,181
Lonestar,What About Now,03:30:00,182
"Lopez, Jennifer",Feelin' Good,04:28:00,183
"Loveless, Patty",That's The Kind Of M...,03:27:00,184
Lox,"Ryde or Die, Chick",03:56:00,185
Lucy Pearl,Dance Tonight,03:45:00,186
Ludacris,What's Your Fantasy,04:16:00,187
M2M,Don't Say You Love M...,03:41:00,188
M2M,Mirror Mirror,03:19:00,189
Madison Avenue,Don't Call Me Baby,03:44:00,190
Madonna,American Pie,04:30:00,191
Madonna,Music,03:45:00,192
"Martin, Ricky",Private Emotion,04:02:00,193
"Martin, Ricky",Shake Your Bon-Bon,03:08:00,194
"Martin, Ricky",She Bangs,04:02:00,195
Mary Mary,Shackles,03:12:00,196
Master P,Souljas,03:33:00,197
matchbox twenty,Bent,04:12:00,198
"McBride, Martina",Love's The Only Hous...,05:13:00,199
"McBride, Martina",There You Are,03:26:00,200
"McEntire, Reba",I'll Be,04:23:00,201
"McEntire, Reba",What Do You Say,03:26:00,202
"McGraw, Tim",My Best Friend,04:33:00,203
"McGraw, Tim",My Next Thirty Years,03:37:00,204
"McGraw, Tim",Some Things Never Ch...,03:56:00,205
"McKnight, Brian",Stay Or Let It Go,04:32:00,206
"Messina, Jo Dee",Because You Love Me,03:50:00,207
"Messina, Jo Dee",That's The Way,03:17:00,208
Metallica,I Disappear,04:26:00,209
Metallica,No Leaf Clover,05:43:00,210
Montgomery Gentry,Daddy Won't Sell The...,04:18:00,211
"Montgomery, John Michael",The Little Girl,03:52:00,212
"Moore, Chante",Straight Up,03:40:00,213
"Moore, Mandy",I Wanna Be With You,04:12:00,214
"Mumba, Samantha",Gotta Tell You,03:19:00,215
Musiq,Just Friends,04:02:00,216
Mya,Case Of The Ex,03:50:00,217
Mya,The Best Of Me,04:12:00,218
Mystikal,Shake Ya Ass,04:46:00,219
N'Sync,Bye Bye Bye,03:15:00,220
N'Sync,It's Gonna Be Me,03:10:00,221
N'Sync,This I Promise You,04:23:00,222
Nas,You Owe Me,03:51:00,223
Nelly,(Hot S**t) Country G...,04:17:00,224
Next,Wifey,04:03:00,225
Nine Days,Absolutely,03:09:00,226
Nine Days,If I Am,04:18:00,227
No Doubt,Simple Kind Of Life,04:11:00,228
Nu Flavor,3 Little Words,03:54:00,229
"Offspring, The",Original Prankster,03:42:00,230
"Paisley, Brad",Me Neither,03:19:00,231
"Paisley, Brad",We Danced,03:45:00,232
Papa Roach,Last Resort,03:19:00,233
Pearl Jam,Nothing As It Seems,05:20:00,234
Pink,Most Girls,04:06:00,235
Pink,There U Go,03:23:00,236
"Price, Kelly",As We Lay,06:20:00,237
"Price, Kelly",Love Sets You Free,03:46:00,238
"Price, Kelly",You Should've Told M...,03:12:00,239
Profyle,Liar,03:57:00,240
Puff Daddy,Best Friend,05:33:00,241
Q-Tip,Breathe And Stop,04:06:00,242
R.E.M.,The Great Beyond,04:10:00,243
Rascal Flatts,Prayin' For Daylight,03:36:00,244
"Raye, Collin",Couldn't Last A Mome...,03:40:00,245
Red Hot Chili Peppers,Californication,05:21:00,246
Red Hot Chili Peppers,Otherside,04:13:00,247
"Rimes, LeAnn",Big Deal,03:03:00,248
"Rimes, LeAnn",Can't Fight The Moon...,03:33:00,249
"Rimes, LeAnn",I Need You,03:42:00,250
"Rogers, Kenny",Buy Me A Rose,03:46:00,251
Ruff Endz,No More,03:56:00,252
Sammie,I Like It,04:09:00,253
Santana,"Maria, Maria",04:18:00,254
Savage Garden,Crash And Burn,04:41:00,255
Savage Garden,I Knew I Loved You,04:07:00,256
SheDaisy,Deck The Halls,03:46:00,257
SheDaisy,I Will.. But,03:40:00,258
SheDaisy,This Woman Needs,03:20:00,259
"Sheist, Shade",Where I Wanna Be,04:16:00,260
Shyne,Bad Boyz,04:22:00,261
"Simpson, Jessica",I Think I'm In Love ...,03:32:00,262
"Simpson, Jessica",Where You Are,03:51:00,263
Sisqo,Got To Get It,03:52:00,264
Sisqo,Incomplete,03:52:00,265
Sisqo,Thong Song,04:05:00,266
Sister Hazel,Change Your Mind,04:02:00,267
Smash Mouth,Then The Morning Com...,03:04:00,268
"Smith, Will",Freakin' It,03:58:00,269
Son By Four,A Puro Dolor,03:30:00,270
Sonique,It Feels So Good,03:48:00,271
SoulDecision,Faded,03:25:00,272
"Spears, Britney",From The Bottom Of M...,04:30:00,273
"Spears, Britney",Lucky,03:23:00,274
"Spears, Britney",Oops!.. I Did It Aga...,03:30:00,275
"Spencer, Tracie",Still In My Heart,04:11:00,276
Splender,I Think God Can Expl...,03:55:00,277
Sting,Desert Rose,03:52:00,278
Stone Temple Pilots,Sour Girl,04:16:00,279
"Stone, Angie",No More Rain,04:42:00,280
"Strait, George",Go On,03:48:00,281
"Strait, George",The Best Day,03:24:00,282
Sugar Ray,Falls Apart,04:15:00,283
Tamar,If You Don't Wanna L...,04:02:00,284
Tamia,Can't Go For That,03:38:00,285
Third Eye Blind,Deep Inside Of You,04:10:00,286
Third Eye Blind,Never Let You Go,03:57:00,287
"Thomas, Carl",Emotional,04:31:00,288
"Thomas, Carl",I Wish,03:50:00,289
"Thomas, Carl",Summer Rain,04:57:00,290
"Tippin, Aaron",Kiss This,02:53:00,291
TLC,Dear Lie,04:36:00,292
Train,Meet Virginia,03:55:00,293
Trick Daddy,Shut Up,04:17:00,294
Trina,Pull Over,02:58:00,295
"Tritt, Travis",Best Of Intentions,04:15:00,296
Tuesday,I Know,04:06:00,297
"Urban, Keith",Your Everything,04:10:00,298
Usher,Pop Ya Collar,03:36:00,299
"Vassar, Phil",Carlene,04:07:00,300
"Vassar, Phil",Just Another Day In ...,03:54:00,301
Vertical Horizon,Everything You Want,04:01:00,302
Vertical Horizon,You're A God,03:45:00,303
Vitamin C,Graduation,04:23:00,304
Vitamin C,The Itch,03:30:00,305
"Walker, Clay","Live, Laugh, Love",04:06:00,306
"Walker, Clay",The Chain Of Love,05:03:00,307
"Wallflowers, The",Sleepwalker,03:29:00,308
Westlife,Swear It Again,04:07:00,309
"Williams, Robbie",Angels,03:56:00,310
"Wills, Mark",Back At One,04:00:00,311
"Worley, Darryl",When You Need My Lov...,03:35:00,312
"Wright, Chely",It Was,03:51:00,313
Yankee Grey,Another Nine Minutes,03:10:00,314
"Yearwood, Trisha",Real Live Woman,03:55:00,315
Ying Yang Twins,Whistle While You Tw...,04:19:00,316
Zombie Nation,Kernkraft 400,03:30:00,317
